"cluster","pd","lgd dwt","ead","num ctp","sett","is","acca","cod type","cod stato","lgd pag"
"613114_344",0.0304558279,0.3245679099,23486.7904483317,2084,13,0.3,0.001525454,0,0,0.2910908065
"005107_4421",0.0010022497,0.1770468884,132915.565692529,473315,5,0.3,9.4484e-06,0,0,0.1409145217
"005107_12312",0.0010022497,0.1770468884,77470.2414171467,473315,5,0.3,9.4484e-06,0,0,0.1409145217
"614112_61",0.0119293972,0.3081269642,134847.565946421,2173,14,0.3,0.0023211227,0,0,0.2824589871
"610116_383",0.0727921745,0.2378948452,26944.2021023265,5329,10,0.3,0.0009189737,0,0,0.2022825353
"005107_104800",0.0010022497,0.1770468884,154458.647199715,473315,5,0.3,9.4484e-06,0,0,0.1409145217
"013113_305",0.0192441776,0.3523388444,254100.883271926,4192,13,0.3,0.0006297629,0,0,0.3297432605
"010111_3283",0.0078877416,0.3623583664,270075.42810292,6995,10,0.3,0.0002757108,0,0,0.3377475249
"618103_34",3e-04,0.1753203063,7918.27156801521,2242,18,0.3,0.0107366966,0,0,0.1453994366
"005116_32849",0.0719020006,0.2380512773,25613.5375637346,301041,5,0.3,2.21565e-05,0,0,0.2022362627
"005107_54051",0.0010022497,0.1770468884,64642.2739415054,473315,5,0.3,9.4484e-06,0,0,0.1409145217
"005115_2341",0.0407148977,0.2298021679,4827.12247906287,198294,5,0.3,5.23093e-05,0,0,0.1945576752
"005109_49944",0.0027976946,0.194392398,20552.4270113717,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"005110_24506",0.0050928948,0.2066847819,50334.3390101261,286110,5,0.3,3.81605e-05,0,0,0.170589917
"012110_548",0.005057726,0.3781258974,1148188.32932609,1027,12,0.3,0.0011672939,0,0,0.3569179191
"005113_15685",0.0192875484,0.2052906677,105508.014026694,373889,5,0.3,1.1033e-05,0,0,0.1686317579
"005109_42922",0.0027976946,0.194392398,123466.843090281,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"005109_68341",0.0027976946,0.194392398,24471.742200977,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"005111_94136",0.0077907016,0.2131025561,119033.195783848,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005111_110838",0.0077907016,0.2131025561,51630.3204052745,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005118_4119",0.2565108504,0.2230705366,50396.4231052839,83292,5,0.3,8.3402e-05,0,0,0.1876993741
"005111_47508",0.0077907016,0.2131025561,23175.0252123713,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005113_77311",0.0192875484,0.2052906677,74.099777963005,373889,5,0.3,1.1033e-05,0,0,0.1686317579
"005109_41198",0.0027976946,0.194392398,48561.2221806678,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"005107_75030",0.0010022497,0.1770468884,89488.8775363605,473315,5,0.3,9.4484e-06,0,0,0.1409145217
"005113_1994",0.0192875484,0.2052906677,82437.6557615698,373889,5,0.3,1.1033e-05,0,0,0.1686317579
"614111_342",0.0072322695,0.2743974633,16210.1657634805,3527,14,0.3,0.0008557137,0,0,0.2434488924
"005111_36861",0.0077907016,0.2131025561,22301.0677898815,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005111_42029",0.0077907016,0.2131025561,41545.2852863644,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005111_60145",0.0077907016,0.2131025561,7127.88311612343,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005108_16497",0.001698804,0.1845801877,2789.55269347337,418091,5,0.3,1.72258e-05,0,0,0.150151248
